count	tp	fp	tn	fn	case	gene
46	0	1	377	32	BMweights	or5
46	0	1	377	32	PDweights	or5
46	0	1	377	32	BMweightsP	or5
46	0	1	377	32	PDweightsP	or5
47	4	0	373	24	truealn	or5
47	4	0	373	24	refaln	or5
47	4	0	373	24	Guidance	or5
47	4	0	373	24	GuidanceP	or5
47	4	0	373	24	BMweights	or5
47	4	0	373	24	PDweights	or5
47	4	0	373	24	BMweightsP	or5
47	4	0	373	24	PDweightsP	or5
48	4	0	381	30	truealn	or5
48	4	0	381	30	refaln	or5
48	4	0	381	30	Guidance	or5
48	4	0	381	30	GuidanceP	or5
48	4	0	381	30	BMweights	or5
48	4	0	381	30	PDweights	or5
48	4	0	381	30	BMweightsP	or5
48	4	0	381	30	PDweightsP	or5
49	1	0	389	25	truealn	or5
49	1	0	389	25	refaln	or5
49	1	0	389	25	Guidance	or5
49	1	0	389	25	GuidanceP	or5
49	1	0	389	25	BMweights	or5
49	1	0	389	25	PDweights	or5
49	1	0	389	25	BMweightsP	or5
49	1	0	389	25	PDweightsP	or5
50	6	0	404	32	truealn	or5
50	6	0	404	32	refaln	or5
50	6	0	404	32	Guidance	or5
50	6	0	404	32	GuidanceP	or5
50	6	0	404	32	BMweights	or5
50	6	0	404	32	PDweights	or5
50	6	0	404	32	BMweightsP	or5
50	6	0	404	32	PDweightsP	or5
51	4	0	371	29	truealn	or5
51	3	1	370	30	refaln	or5
51	3	1	370	30	Guidance	or5
51	3	1	370	30	GuidanceP	or5
51	3	1	370	30	BMweights	or5
51	3	1	370	30	PDweights	or5
51	3	1	370	30	BMweightsP	or5
51	3	1	370	30	PDweightsP	or5
52	4	0	385	26	truealn	or5
52	4	0	385	26	refaln	or5
52	4	0	385	26	Guidance	or5
52	4	0	385	26	GuidanceP	or5
52	4	0	385	26	BMweights	or5
52	4	0	385	26	PDweights	or5
52	4	0	385	26	BMweightsP	or5
52	4	0	385	26	PDweightsP	or5
53	3	0	408	29	truealn	or5
53	3	0	408	29	refaln	or5
53	3	0	408	29	Guidance	or5
53	3	0	408	29	GuidanceP	or5
53	3	0	408	29	BMweights	or5
53	3	0	408	29	PDweights	or5
53	3	0	408	29	BMweightsP	or5
53	3	0	408	29	PDweightsP	or5
54	4	0	386	28	truealn	or5
54	5	0	386	27	refaln	or5
54	5	0	386	27	Guidance	or5
54	5	0	386	27	GuidanceP	or5
54	5	0	386	27	BMweights	or5
54	5	0	386	27	PDweights	or5
54	5	0	386	27	BMweightsP	or5
54	5	0	386	27	PDweightsP	or5
55	2	0	401	42	truealn	or5
55	2	0	401	42	refaln	or5
55	2	0	401	42	Guidance	or5
55	2	0	401	42	GuidanceP	or5
55	2	0	401	42	BMweights	or5
55	2	0	401	42	PDweights	or5
55	2	0	401	42	BMweightsP	or5
55	2	0	401	42	PDweightsP	or5
56	5	0	374	38	truealn	or5
56	5	0	374	38	refaln	or5
56	5	0	374	38	Guidance	or5
56	4	0	374	39	GuidanceP	or5
56	4	0	374	39	BMweights	or5
56	5	0	374	38	PDweights	or5
56	4	0	374	39	BMweightsP	or5
56	5	0	374	38	PDweightsP	or5
57	2	0	409	31	truealn	or5
57	2	0	409	31	refaln	or5
57	2	0	409	31	Guidance	or5
57	2	0	409	31	GuidanceP	or5
57	2	0	409	31	BMweights	or5
57	2	0	409	31	PDweights	or5
57	2	0	409	31	BMweightsP	or5
57	2	0	409	31	PDweightsP	or5
58	3	0	381	25	truealn	or5
58	3	0	381	25	refaln	or5
58	3	0	381	25	Guidance	or5
58	3	0	381	25	GuidanceP	or5
58	3	0	381	25	BMweights	or5
58	3	0	381	25	PDweights	or5
58	3	0	381	25	BMweightsP	or5
58	3	0	381	25	PDweightsP	or5
59	2	0	392	35	truealn	or5
59	2	0	392	35	refaln	or5
59	2	0	392	35	Guidance	or5
59	2	0	392	35	GuidanceP	or5
59	2	0	392	35	BMweights	or5
59	2	0	392	35	PDweights	or5
59	2	0	392	35	BMweightsP	or5
59	2	0	392	35	PDweightsP	or5
60	0	0	403	31	truealn	or5
60	0	0	403	31	refaln	or5
60	0	0	403	31	Guidance	or5
60	0	0	403	31	GuidanceP	or5
60	0	0	403	31	BMweights	or5
60	0	0	403	31	PDweights	or5
60	0	0	403	31	BMweightsP	or5
60	0	0	403	31	PDweightsP	or5
61	2	0	382	37	truealn	or5
61	2	0	382	37	refaln	or5
61	2	0	382	37	Guidance	or5
61	2	0	382	37	GuidanceP	or5
61	2	0	382	37	BMweights	or5
61	2	0	382	37	PDweights	or5
61	2	0	382	37	BMweightsP	or5
61	2	0	382	37	PDweightsP	or5
62	4	0	399	27	truealn	or5
62	4	0	399	27	refaln	or5
62	4	0	399	27	Guidance	or5
62	4	0	399	27	GuidanceP	or5
62	4	0	399	27	BMweights	or5
62	4	0	399	27	PDweights	or5
62	4	0	399	27	BMweightsP	or5
62	4	0	399	27	PDweightsP	or5
63	5	0	360	40	truealn	or5
63	5	1	359	40	refaln	or5
